factor,beta,weight_pct,std_err,t_stat,p_value
^VIX,-0.02653805330918436,-0.515870086126163,0.008584095261919172,-3.0915376052398527,0.002683926900874618
PC15,0.0037778730974664726,0.07343762925855853,0.0011929051451490754,3.1669518006767903,0.0021322131343989503
EWJ,-0.08492023047251179,-1.650754337453499,0.0410698663098516,-2.067701653368704,0.04167331456756171
XHB,0.1273306568636851,2.4751656105852096,0.027808757785585538,4.578797005081831,1.5665191785348687e-05
XLP,-0.1799302163176168,-3.497642238752475,0.06974765401837893,-2.5797314454505393,0.011585980418086138
GDX_lag1,-0.04622416180312246,-0.8985460256888513,0.014900441507073542,-3.102200816075075,0.0025985770756727536
PFF_ma6,0.16676826580676662,3.2417886362099435,0.09878629355200182,1.6881721118424047,0.0950015677288689
ITB_lag2,-0.028689001701008764,-0.55768211804937,0.018788450302664007,-1.526948803060195,0.13044335298055748
IYR,-0.153728992284338,-2.9883197371663988,0.04033706886358814,-3.811109647163966,0.00025926136515897326
XBI_sq,-0.47042151749651745,-9.14446835716253,0.151740865609633,-3.1001636612955603,0.0026146850865779335
XBI_ma6,-0.2520011122229497,-4.898619878096003,0.07484681064569537,-3.366891789362342,0.001138528103885517
EWQ_ma6,0.3172096433230098,6.16620081791975,0.08857752330416342,3.58115277431899,0.0005657285149854023
FXB_lag2,-0.19679686481208059,-3.825511028151865,0.0662708771562767,-2.9695829187231664,0.0038637908215972796
REM_sq,-0.506632957958705,-9.848378274455376,0.20707883265795526,-2.446570474904799,0.01645834655555262
REM_lag1,-0.07109502864338046,-1.38200787081507,0.0330802330186596,-2.1491695237841224,0.034430570096585275
FXY_lag2,-0.08631886489496315,-1.6779422269178441,0.0561085328100324,-1.5384266986131037,0.12761569890143856
TLT_lag1,0.1076884065676666,2.0933422253555203,0.04424284652087772,2.4340297931971806,0.017000538717924892
EWZ_sq,-0.2068767588485348,-4.021452898648019,0.12448716662478451,-1.661832014155161,0.10018763040709021
XLE_sq,0.7240498000492556,14.074718607252676,0.32141290359655006,2.2527091848126637,0.026822971540045964
XLF_sq,0.5301572877727612,10.305664945254154,0.22082012732056183,2.4008558196469947,0.018512463587395545
EWG_sq,-0.611880645115122,-11.894275643241278,0.32389968755978765,-1.8891053885384708,0.06224778090549365
UNG_lag1,-0.027897790592874235,-0.5423018587009544,0.014924550649050615,-1.8692549778474488,0.06499084247019546
XLE_lag1,0.04715863698986794,0.9167111785526568,0.03180283371018123,1.4828438691854924,0.14177133390958163
LQD,0.13895270167760365,2.701085168032302,0.08287621498933995,1.6766294369919839,0.09724661386754509
XBI_lag2,0.03128331160878854,0.6081126021535352,0.0222883037231197,1.4035752562155865,0.16404596767313648
